Monitoring started on: ernie
--------------------------------------------------------
Timestamp           | %CPU    | Memory (GB)  | GPU Usage
--------------------------------------------------------
2025-12-15 15:09:57 | 6.1     | 0.01        
2025-12-15 15:10:58 | 3.6     | 0.31        
2025-12-15 15:11:59 | 3.9     | 0.40        
2025-12-15 15:12:59 | 3.8     | 0.44        
2025-12-15 16:16:31 | 70.9    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 16:17:32 | 71.2    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  79% | Processes:  1
2025-12-15 16:18:33 | 71.6    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 16:19:33 | 71.8    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 16:20:34 | 72.1    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 16:21:35 | 72.4    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 16:22:35 | 72.6    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 16:23:36 | 72.7    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  96% | Processes:  1
2025-12-15 16:24:37 | 72.9    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 16:25:37 | 73.2    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 16:26:38 | 73.4    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 16:27:39 | 73.5    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 16:28:39 | 73.8    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 16:29:40 | 74      | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 16:30:41 | 74.3    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  94% | Processes:  1
2025-12-15 16:31:42 | 74.4    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  89% | Processes:  1
2025-12-15 16:32:42 | 74.5    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  87% | Processes:  1
2025-12-15 16:33:43 | 74.5    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  94% | Processes:  1
2025-12-15 16:34:44 | 74.8    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  84% | Processes:  1
2025-12-15 16:35:44 | 75      | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 16:36:45 | 75.2    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  79% | Processes:  1
2025-12-15 16:37:46 | 75.4    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 16:38:48 | 75.4    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  16% | Processes:  1
2025-12-15 16:39:49 | 75.7    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  96% | Processes:  1
2025-12-15 16:40:49 | 75.9    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 16:41:50 | 76.1    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  78% | Processes:  1
2025-12-15 16:42:51 | 76.2    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 16:43:52 | 76.5    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 16:44:52 | 76.7    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 16:45:53 | 76.9    | 1.73         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 16:46:54 | 77.1    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  89% | Processes:  1
2025-12-15 16:47:54 | 77.3    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  50% | Processes:  1
2025-12-15 16:48:55 | 77.4    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 16:49:56 | 77.6    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 16:50:56 | 77.7    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 16:51:57 | 77.7    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  89% | Processes:  1
2025-12-15 16:52:58 | 77.8    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 16:53:58 | 77.8    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
2025-12-15 16:54:59 | 77.9    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 16:56:00 | 78.1    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  88% | Processes:  1
2025-12-15 16:57:00 | 78.3    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 16:58:01 | 78.4    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 16:59:02 | 78.6    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 17:00:02 | 78.7    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  85% | Processes:  1
2025-12-15 17:01:03 | 78.8    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 17:02:04 | 78.9    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 17:03:04 | 78.9    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  83% | Processes:  1
2025-12-15 17:04:05 | 78.9    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  63% | Processes:  1
2025-12-15 17:05:06 | 79      | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  94% | Processes:  1
2025-12-15 17:06:06 | 79.1    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 17:07:07 | 79.1    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  81% | Processes:  1
2025-12-15 17:08:08 | 79.2    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  86% | Processes:  1
2025-12-15 17:09:09 | 79.3    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  87% | Processes:  1
2025-12-15 17:10:10 | 79.3    | 1.72         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  91% | Processes:  1
